TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-23T09:40:00Z,09/032,531334.600,177864.820,503,0-79%,2,2,1
2019-06-23T09:40:00Z,09/033,531226.760,177662.720,218,0-79%,2,5,0.4
2019-06-23T09:40:00Z,09/034,531173.600,177579.840,248,0-79%,2,7,0.29
2019-06-23T09:40:00Z,09/038,529920.000,173740.000,476,0-79%,4,4,1
2019-06-23T09:40:00Z,09/039,531794.880,170986.980,429,0-79%,4,4,1
2019-06-23T09:40:00Z,09/040,529788.140,176223.260,94,0-79%,2,3,0.67
2019-06-23T09:40:00Z,09/041,530935.110,172129.770,163,0-79%,4,4,1
2019-06-23T09:40:00Z,09/042,529853.030,171501.860,438,0-79%,3,3,1
2019-06-23T09:40:00Z,09/045,531715.580,173029.420,555,0-79%,4,4,1
2019-06-23T09:40:00Z,09/046,531729.060,172826.420,296,0-79%,5,5,1
2019-06-23T09:40:00Z,09/047,531909.510,172188.160,320,>=100%,4,4,1
2019-06-23T09:40:00Z,09/048,531833.480,172533.260,186,>=100%,3,4,0.75
2019-06-23T09:40:00Z,09/049,529556.270,173934.420,412,0-79%,4,4,1
2019-06-23T09:40:00Z,09/050,532427.900,172985.110,543,90-99%,2,2,1
2019-06-23T09:40:00Z,09/052,530472.100,176740.470,334,0-79%,3,3,1
2019-06-23T09:40:00Z,09/054,530438.610,173465.130,397,0-79%,8,8,1
2019-06-23T09:40:00Z,09/055,530299.680,172717.510,466,80-89%,5,5,1
2019-06-23T09:40:00Z,09/057,530032.120,171703.180,390,0-79%,5,5,1
2019-06-23T09:40:00Z,09/058,530031.170,171322.640,614,80-89%,3,3,1
2019-06-23T09:40:00Z,09/059,530186.750,170859.540,762,0-79%,3,3,1
2019-06-23T09:40:00Z,09/060,530145.810,173655.120,394,0-79%,4,4,1
2019-06-23T09:40:00Z,09/062,532641.380,173067.900,526,80-89%,5,5,1
2019-06-23T09:40:00Z,09/063,531335.330,173452.910,142,0-79%,4,4,1
2019-06-23T09:40:00Z,09/064,531154.170,174601.990,203,0-79%,2,2,1
2019-06-23T09:40:00Z,09/066,531566.750,177115.580,125,0-79%,3,4,0.75
2019-06-23T09:40:00Z,09/072,528998.130,175988.760,305,0-79%,3,5,0.6
2019-06-23T09:40:00Z,09/073,529598.340,176438.730,238,0-79%,3,4,0.75
2019-06-23T09:40:00Z,09/074,528566.570,175768.520,322,0-79%,4,4,1
2019-06-23T09:40:00Z,09/075,529741.920,171776.820,431,0-79%,3,3,1
2019-06-23T09:40:00Z,09/077,531965.380,175844.340,238,0-79%,3,3,1
2019-06-23T09:40:00Z,09/078,531648.210,177293.230,353,0-79%,3,3,1
2019-06-23T09:40:00Z,09/080,531901.690,172303.420,293,0-79%,1,2,0.5
2019-06-23T09:40:00Z,09/081,530018.260,171474.150,631,0-79%,3,3,1
2019-06-23T09:40:00Z,09/082,529074.910,175217.140,393,0-79%,3,3,1
2019-06-23T09:40:00Z,09/087,531131.310,175805.930,340,0-79%,3,3,1
2019-06-23T09:40:00Z,09/095,530141.490,170994.700,508,0-79%,5,5,1
2019-06-23T09:40:00Z,09/098,529236.920,175048.440,525,0-79%,1,3,0.33
2019-06-23T09:40:00Z,09/106,530365.410,176292.940,640,0-79%,2,2,1
2019-06-23T09:40:00Z,09/107,529919.490,175593.350,443,0-79%,2,2,1
2019-06-23T09:40:00Z,09/110,530352.380,172899.690,160,0-79%,1,1,1
2019-06-23T09:40:00Z,09/117,531029.580,175414.280,527,0-79%,2,2,1
2019-06-23T09:40:00Z,09/119,529880.230,176835.860,229,0-79%,3,3,1
2019-06-23T09:40:00Z,09/123,531034.360,175040.160,183,0-79%,1,1,1
2019-06-23T09:40:00Z,09/124,530928.690,175057.620,407,0-79%,3,3,1
2019-06-23T09:40:00Z,09/130,530354.800,170392.590,1020,0-79%,1,1,1
2019-06-23T09:40:00Z,09/131,530358.770,170404.500,728,0-79%,1,1,1
2019-06-23T09:40:00Z,09/133,529022.390,174647.540,412,0-79%,2,2,1
2019-06-23T09:40:00Z,09/134,529104.500,174810.000,565,0-79%,3,3,1
2019-06-23T09:40:00Z,09/140,530537.250,170145.370,630,80-89%,3,3,1
2019-06-23T09:40:00Z,09/141,532068.400,174082.600,418,0-79%,3,3,1
2019-06-23T09:40:00Z,09/146,530139.450,172003.690,551,90-99%,6,6,1
2019-06-23T09:40:00Z,09/147,530096.230,171793.340,743,0-79%,2,2,1
2019-06-23T09:40:00Z,09/148,530191.890,172144.500,818,0-79%,1,1,1
2019-06-23T09:40:00Z,09/149,530206.960,172152.890,863,0-79%,1,1,1
2019-06-23T09:40:00Z,09/151,530250.000,170660.000,630,0-79%,3,3,1
2019-06-23T09:40:00Z,09/154,530201.880,172372.750,961,0-79%,1,1,1
2019-06-23T09:40:00Z,09/155,530214.930,172380.580,698,0-79%,1,1,1
2019-06-23T09:40:00Z,09/164,530720.270,176123.750,235,0-79%,3,4,0.75
2019-06-23T09:40:00Z,09/165,530550.580,171045.300,623,90-99%,3,3,1
2019-06-23T09:40:00Z,09/167,530700.420,172199.730,356,0-79%,2,2,1
2019-06-23T09:40:00Z,09/179,529558.180,175225.330,307,0-79%,2,2,1
