TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-04-25T15:42:00Z,10/228,528177.200,175195.800,382,0-79%,1,1,1
2019-04-25T15:42:00Z,10/231,528947.100,171875.100,777,>=100%,1,1,1
2019-04-25T15:42:00Z,10/232,527572.800,176259.500,568,0-79%,1,1,1
2019-04-25T15:42:00Z,10/233,527743.300,175751.600,593,0-79%,2,2,1
2019-04-25T15:42:00Z,10/234,528466.100,175203.000,268,0-79%,1,1,1
2019-04-25T15:42:00Z,10/235,527404.000,176347.300,582,0-79%,2,2,1
2019-04-25T15:42:00Z,10/237,525855.710,174020.770,255,0-79%,1,2,0.5
2019-04-25T15:42:00Z,10/240,523849.300,174613.000,320,90-99%,4,4,1
2019-04-25T15:42:00Z,10/242,528182.400,172544.900,424,0-79%,2,2,1
2019-04-25T15:42:00Z,10/243,525294.500,173451.500,313,0-79%,4,4,1
2019-04-25T15:42:00Z,10/246,525900.000,173185.600,409,0-79%,2,2,1
2019-04-25T15:42:00Z,10/249,528631.840,176238.690,197,0-79%,2,2,1
2019-04-25T15:42:00Z,10/251,526178.980,172281.610,370,0-79%,3,3,1
2019-04-25T15:42:00Z,10/253,525712.530,174861.280,929,0-79%,2,2,1
2019-04-25T15:42:00Z,10/254,525832.400,174786.100,1094,90-99%,1,1,1
2019-04-25T15:42:00Z,10/255,528626.930,177380.690,357,0-79%,4,4,1
2019-04-25T15:42:00Z,10/256,523999.900,175212.010,433,0-79%,2,2,1
2019-04-25T15:42:00Z,10/258,525878.554,174658.948,802,0-79%,1,1,1
2019-04-25T15:42:00Z,10/259,526059.190,174711.180,807,0-79%,2,2,1
2019-04-25T15:42:00Z,10/263,522785.370,175382.730,576,0-79%,2,2,1
2019-04-25T15:42:00Z,10/264,529141.600,177272.500,657,0-79%,2,2,1
2019-04-25T15:42:00Z,10/266,526117.082,172726.135,408,0-79%,2,2,1
2019-04-25T15:42:00Z,10/267,525921.355,173393.650,396,0-79%,1,1,1
2019-04-25T15:42:00Z,10/268,528618.390,177465.630,288,0-79%,6,6,1
2019-04-25T15:42:00Z,10/275,528559.490,175914.140,334,0-79%,2,2,1
2019-04-25T15:42:00Z,10/276,528448.010,172037.160,618,0-79%,1,2,0.5
2019-04-25T15:42:00Z,10/277,527565.227,173002.495,521,0-79%,2,2,1
