TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-25T06:28:00Z,02/314,529047.281,182239.251,1183,0-79%,1,1,1
2019-06-25T06:28:00Z,02/315,529059.012,182227.961,732,0-79%,2,2,1
2019-06-25T06:28:00Z,03/001,531895.220,182554.790,190,0-79%,5,5,1
2019-06-25T06:28:00Z,03/002,531821.700,182776.140,174,0-79%,4,5,0.8
2019-06-25T06:28:00Z,03/003,531107.490,183101.830,421,0-79%,4,4,1
2019-06-25T06:28:00Z,03/004,531451.920,183143.300,370,0-79%,7,7,1
2019-06-25T06:28:00Z,03/005,531011.210,182517.910,205,0-79%,2,4,0.5
2019-06-25T06:28:00Z,03/006,530790.000,182900.000,567,90-99%,3,3,1
2019-06-25T06:28:00Z,03/016,530722.350,183683.820,286,0-79%,4,4,1
2019-06-25T06:28:00Z,03/027,531466.110,183287.430,303,90-99%,2,2,1
2019-06-25T06:28:00Z,03/029,532800.660,181908.490,246,0-79%,3,3,1
2019-06-25T06:28:00Z,03/031,531171.730,182373.910,262,0-79%,6,6,1
2019-06-25T06:28:00Z,03/033,532206.090,182311.920,164,0-79%,5,5,1
2019-06-25T06:28:00Z,03/034,532547.390,182435.830,155,0-79%,2,2,1
2019-06-25T06:28:00Z,03/035,532015.740,182196.870,385,0-79%,3,3,1
2019-06-25T06:28:00Z,03/038,531767.770,182108.850,180,0-79%,3,3,1
2019-06-25T06:28:00Z,03/039,531623.310,182471.240,138,0-79%,3,4,0.75
2019-06-25T06:28:00Z,03/040,531568.920,182689.190,65,0-79%,3,3,1
2019-06-25T06:28:00Z,03/043,531518.000,183124.920,612,0-79%,1,1,1
2019-06-25T06:28:00Z,03/044,530909.480,183068.700,513,>=100%,3,3,1
2019-06-25T06:28:00Z,03/052,531106.090,183579.910,163,0-79%,3,3,1
2019-06-25T06:28:00Z,03/056,532476.480,182761.030,248,0-79%,2,4,0.5
2019-06-25T06:28:00Z,03/057,532664.620,182690.420,285,>=100%,2,2,1
2019-06-25T06:28:00Z,03/058,532736.650,182619.000,241,>=100%,4,4,1
2019-06-25T06:28:00Z,03/070,532326.510,182363.060,239,0-79%,3,3,1
2019-06-25T06:28:00Z,03/076,532121.830,182622.350,29,0-79%,2,4,0.5
2019-06-25T06:28:00Z,03/083,531657.260,182977.850,449,0-79%,2,2,1
2019-06-25T06:28:00Z,03/085,532720.860,182605.050,333,0-79%,2,2,1
2019-06-25T06:28:00Z,03/086,532671.660,182679.210,571,0-79%,1,1,1
2019-06-25T06:28:00Z,03/088,531381.820,183442.420,223,0-79%,3,4,0.75
2019-06-25T06:28:00Z,03/089,531077.780,183363.390,234,0-79%,3,3,1
2019-06-25T06:28:00Z,03/094,532069.550,182913.880,287,0-79%,5,5,1
2019-06-25T06:28:00Z,03/096,531489.270,182999.770,280,0-79%,2,2,1
2019-06-25T06:28:00Z,03/098,531586.530,183106.390,653,0-79%,1,1,1
2019-06-25T06:28:00Z,03/099,531576.760,183053.880,551,0-79%,2,2,1
2019-06-25T06:28:00Z,03/113,532304.270,182831.700,336,0-79%,2,2,1
