"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-28 00:00:00","9.903","13.942","Valid","6.999","6.999","Valid","5.382","5.382","Valid"
"2019-06-28 00:15:00","10.476","14.515","Valid","7.111","7.111","Valid","5.244","5.244","Valid"
"2019-06-28 00:30:00","10.167","14.206","Valid","6.994","6.994","Valid","5.242","5.242","Valid"
"2019-06-28 00:45:00","9.583","13.622","Valid","6.363","6.363","Valid","4.975","4.975","Valid"
"2019-06-28 01:00:00","9.453","13.492","Valid","6.523","6.523","Valid","4.726","4.726","Valid"
"2019-06-28 01:15:00","9.382","13.421","Valid","6.061","6.061","Valid","4.706","4.706","Valid"
"2019-06-28 01:30:00","10.003","14.042","Valid","6.219","6.219","Valid","4.787","4.787","Valid"
"2019-06-28 01:45:00","9.66","13.699","Valid","7.012","7.012","Valid","4.953","4.953","Valid"
"2019-06-28 02:00:00","9.161","13.2","Valid","7.085","7.085","Valid","4.97","4.97","Valid"
"2019-06-28 02:15:00","8.805","12.844","Valid","8.04","8.04","Valid","5.21","5.21","Valid"
"2019-06-28 02:30:00","8.97","13.009","Valid","8.249","8.249","Valid","5.273","5.273","Valid"
"2019-06-28 02:45:00","8.498","12.537","Valid","8.007","8.007","Valid","5.437","5.437","Valid"
"2019-06-28 03:00:00","8.539","12.578","Valid","8.548","8.548","Valid","5.618","5.618","Valid"
"2019-06-28 03:15:00","9.053","13.092","Valid","8.496","8.496","Valid","5.921","5.921","Valid"
"2019-06-28 03:30:00","9.099","13.138","Valid","9.87","9.87","Valid","6.315","6.315","Valid"
"2019-06-28 03:45:00","8.771","12.81","Valid","10.734","10.734","Valid","6.891","6.891","Valid"
"2019-06-28 04:00:00","8.994","13.033","Valid","10.183","10.183","Valid","7.029","7.029","Valid"
"2019-06-28 04:15:00","8.866","12.905","Valid","10.664","10.664","Valid","7.301","7.301","Valid"
"2019-06-28 04:30:00","9.148","13.187","Valid","11.713","11.713","Valid","7.619","7.619","Valid"
"2019-06-28 04:45:00","8.853","12.892","Valid","11.429","11.429","Valid","7.323","7.323","Valid"
"2019-06-28 05:00:00","9.805","13.844","Valid","11.194","11.194","Valid","7.665","7.665","Valid"
"2019-06-28 05:15:00","8.835","12.874","Valid","11.177","11.177","Valid","7.285","7.285","Valid"
"2019-06-28 05:30:00","9.337","13.376","Valid","11.005","11.005","Valid","7.025","7.025","Valid"
"2019-06-28 05:45:00","10.052","14.091","Valid","10.162","10.162","Valid","6.503","6.503","Valid"
"2019-06-28 06:00:00","10.183","14.222","Valid","12.222","12.222","Valid","8.771","8.771","Valid"
"2019-06-28 06:15:00","10.629","14.668","Valid","11.804","11.804","Valid","7.157","7.157","Valid"
"2019-06-28 06:30:00","10.745","14.784","Valid","9.935","9.935","Valid","6.441","6.441","Valid"
"2019-06-28 06:45:00","10.729","14.768","Valid","11.753","11.753","Valid","6.437","6.437","Valid"
"2019-06-28 07:00:00","10.8","14.839","Valid","11.703","11.703","Valid","6.571","6.571","Valid"
"2019-06-28 07:15:00","10.889","14.928","Valid","13.13","13.13","Valid","7.491","7.491","Valid"
"2019-06-28 07:30:00","11.948","15.987","Valid","12.543","12.543","Valid","6.623","6.623","Valid"
"2019-06-28 07:45:00","12.02","16.059","Valid","12.481","12.481","Valid","6.621","6.621","Valid"
"2019-06-28 08:00:00","11.96","15.999","Valid","12.547","12.547","Valid","6.673","6.673","Valid"
