"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-24 00:00:00","21.139","21.539","Valid","29.291","29.291","Valid","25.415","25.415","Valid"
"2019-06-24 00:15:00","21.424","21.824","Valid","31.963","31.963","Valid","26.561","26.561","Valid"
"2019-06-24 00:30:00","20.159","20.559","Valid","31.347","31.347","Valid","27.037","27.037","Valid"
"2019-06-24 00:45:00","19.995","20.395","Valid","31.09","31.09","Valid","27.251","27.251","Valid"
"2019-06-24 01:00:00","19.362","19.762","Valid","32.659","32.659","Valid","27.769","27.769","Valid"
"2019-06-24 01:15:00","18.958","19.358","Valid","31.56","31.56","Valid","28.195","28.195","Valid"
"2019-06-24 01:30:00","17.909","18.309","Valid","32.856","32.856","Valid","28.199","28.199","Valid"
"2019-06-24 01:45:00","19.505","19.905","Valid","33.004","33.004","Valid","29.12","29.12","Valid"
"2019-06-24 02:00:00","21.247","21.647","Valid","34.999","34.999","Valid","29.421","29.421","Valid"
"2019-06-24 02:15:00","25.3","25.7","Valid","34.96","34.96","Valid","29.715","29.715","Valid"
"2019-06-24 02:30:00","28.675","29.075","Valid","34.69","34.69","Valid","30.26","30.26","Valid"
"2019-06-24 02:45:00","27.819","28.219","Valid","37.057","37.057","Valid","32.075","32.075","Valid"
"2019-06-24 03:00:00","27.283","27.683","Valid","38.299","38.299","Valid","32.991","32.991","Valid"
"2019-06-24 03:15:00","24.885","25.285","Valid","41.505","41.505","Valid","34.387","34.387","Valid"
"2019-06-24 03:30:00","24.31","24.71","Valid","41.357","41.357","Valid","34.528","34.528","Valid"
"2019-06-24 03:45:00","23.285","23.685","Valid","40.427","40.427","Valid","35.013","35.013","Valid"
"2019-06-24 04:00:00","25.565","25.965","Valid","40.259","40.259","Valid","34.067","34.067","Valid"
"2019-06-24 04:15:00","25.803","26.203","Valid","38.419","38.419","Valid","33.377","33.377","Valid"
"2019-06-24 04:30:00","27.424","27.824","Valid","39.216","39.216","Valid","33.453","33.453","Valid"
"2019-06-24 04:45:00","27.693","28.093","Valid","38.069","38.069","Valid","32.467","32.467","Valid"
"2019-06-24 05:00:00","28.017","28.417","Valid","37.073","37.073","Valid","31.218","31.218","Valid"
"2019-06-24 05:15:00","26.72","27.12","Valid","34.588","34.588","Valid","29.743","29.743","Valid"
"2019-06-24 05:30:00","28.185","28.585","Valid","31.854","31.854","Valid","27.893","27.893","Valid"
"2019-06-24 05:45:00","28.269","28.669","Valid","30.039","30.039","Valid","26.595","26.595","Valid"
"2019-06-24 06:00:00","29.898","30.298","Valid","26.264","26.264","Valid","24.044","24.044","Valid"
"2019-06-24 06:15:00","27.677","28.077","Valid","25.636","25.636","Valid","22.614","22.614","Valid"
"2019-06-24 06:30:00","31.929","32.329","Valid","25.343","25.343","Valid","22.85","22.85","Valid"
"2019-06-24 06:45:00","33.329","33.729","Valid","25.03","25.03","Valid","22.853","22.853","Valid"
"2019-06-24 07:00:00","31.719","32.119","Valid","23.63","23.63","Valid","21.336","21.336","Valid"
"2019-06-24 07:15:00","29.918","30.318","Valid","23.889","23.889","Valid","20.285","20.285","Valid"
"2019-06-24 07:30:00","28.429","28.829","Valid","20.616","20.616","Valid","18.697","18.697","Valid"
"2019-06-24 07:45:00","32.683","33.083","Valid","21.028","21.028","Valid","17.943","17.943","Valid"
"2019-06-24 08:00:00","37.259","37.659","Valid","17.986","17.986","Valid","14.975","14.975","Valid"
"2019-06-24 08:15:00","26.998","27.398","Valid","13.517","13.517","Valid","10.962","10.962","Valid"
"2019-06-24 08:30:00","26.835","27.235","Valid","11.698","11.698","Valid","9.633","9.633","Valid"
"2019-06-24 08:45:00","21.303","21.703","Valid","9.173","9.173","Valid","8.343","8.343","Valid"
"2019-06-24 09:00:00","19.479","19.879","Valid","8.839","8.839","Valid","7.697","7.697","Valid"
"2019-06-24 09:15:00","19.503","19.903","Valid","9.068","9.068","Valid","8.104","8.104","Valid"
"2019-06-24 09:30:00","24.469","24.869","Valid","9.109","9.109","Valid","8.434","8.434","Valid"
"2019-06-24 09:45:00","23.295","23.695","Valid","9.935","9.935","Valid","8.744","8.744","Invalid (1)"
"2019-06-24 10:00:00","21.789","22.189","Valid","9.155","9.155","Valid","8.458","8.458","Invalid (1)"
"2019-06-24 10:15:00","23.201","23.601","Valid","9.817","9.817","Valid","8.847","8.847","Invalid (1)"
"2019-06-24 10:30:00","23.847","24.247","Valid","9.889","9.889","Valid","9.017","9.017","Invalid (1)"
"2019-06-24 10:45:00","21.823","22.223","Valid","8.619","8.619","Valid","8.013","8.013","Invalid (1)"
"2019-06-24 11:00:00","19.93","20.33","Valid","8.469","8.469","Valid","7.607","7.607","Valid"
"2019-06-24 11:15:00","21.445","21.845","Valid","9.849","9.849","Valid","8.661","8.661","Valid"
