"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-23 00:00:00","20.653","21.053","Valid","7.061","7.061","Valid","5.185","5.185","Invalid (1)"
"2019-06-23 00:15:00","19.823","20.223","Valid","6.711","6.711","Valid","5.651","5.651","Valid"
"2019-06-23 00:30:00","19.027","19.427","Valid","7.237","7.237","Valid","5.178","5.178","Valid"
"2019-06-23 00:45:00","18.035","18.435","Valid","7.031","7.031","Valid","5.288","5.288","Valid"
"2019-06-23 01:00:00","18.243","18.643","Valid","8.545","8.545","Valid","5.799","5.799","Valid"
"2019-06-23 01:15:00","17.919","18.319","Valid","8.597","8.597","Valid","6.203","6.203","Valid"
"2019-06-23 01:30:00","18.728","19.128","Valid","9.227","9.227","Valid","6.677","6.677","Valid"
"2019-06-23 01:45:00","18.33","18.73","Valid","10.01","10.01","Valid","7.221","7.221","Valid"
"2019-06-23 02:00:00","17.613","18.013","Valid","10.946","10.946","Valid","7.658","7.658","Valid"
"2019-06-23 02:15:00","18.649","19.049","Valid","11.703","11.703","Valid","8.027","8.027","Valid"
"2019-06-23 02:30:00","19.061","19.461","Valid","11.569","11.569","Valid","8.261","8.261","Valid"
"2019-06-23 02:45:00","17.938","18.338","Valid","12.574","12.574","Valid","8.883","8.883","Valid"
"2019-06-23 03:00:00","18.008","18.408","Valid","13.803","13.803","Valid","9.133","9.133","Valid"
"2019-06-23 03:15:00","17.706","18.106","Valid","13.021","13.021","Valid","9.551","9.551","Valid"
"2019-06-23 03:30:00","16.423","16.823","Valid","12.523","12.523","Valid","9.634","9.634","Valid"
"2019-06-23 03:45:00","15.304","15.704","Valid","12.864","12.864","Valid","9.608","9.608","Valid"
"2019-06-23 04:00:00","15.275","15.675","Valid","14.03","14.03","Valid","9.735","9.735","Valid"
"2019-06-23 04:15:00","14.426","14.826","Valid","13.618","13.618","Valid","9.681","9.681","Valid"
"2019-06-23 04:30:00","14.646","15.046","Valid","13.403","13.403","Valid","9.643","9.643","Valid"
"2019-06-23 04:45:00","15.133","15.533","Valid","13.842","13.842","Valid","9.93","9.93","Valid"
"2019-06-23 05:00:00","13.719","14.119","Valid","14.807","14.807","Valid","10.363","10.363","Valid"
"2019-06-23 05:15:00","13.617","14.017","Valid","15.192","15.192","Valid","10.593","10.593","Valid"
"2019-06-23 05:30:00","14.557","14.957","Valid","15.464","15.464","Valid","10.907","10.907","Valid"
"2019-06-23 05:45:00","15.095","15.495","Valid","14.929","14.929","Valid","11.217","11.217","Valid"
"2019-06-23 06:00:00","16.542","16.942","Valid","17.187","17.187","Valid","12.05","12.05","Valid"
"2019-06-23 06:15:00","15.937","16.337","Valid","16.302","16.302","Valid","11.945","11.945","Valid"
"2019-06-23 06:30:00","14.971","15.371","Valid","17.033","17.033","Valid","12.361","12.361","Valid"
"2019-06-23 06:45:00","16.395","16.795","Valid","17.861","17.861","Valid","13.149","13.149","Valid"
"2019-06-23 07:00:00","15.061","15.461","Valid","18.384","18.384","Valid","13.469","13.469","Valid"
"2019-06-23 07:15:00","15.74","16.14","Valid","18.227","18.227","Valid","13.92","13.92","Valid"
"2019-06-23 07:30:00","16.987","17.387","Valid","20.653","20.653","Valid","15.495","15.495","Valid"
"2019-06-23 07:45:00","17.547","17.947","Valid","20.679","20.679","Valid","15.795","15.795","Valid"
"2019-06-23 08:00:00","16.829","17.229","Valid","20.766","20.766","Valid","15.969","15.969","Valid"
"2019-06-23 08:15:00","16.16","16.56","Valid","19.901","19.901","Valid","15.725","15.725","Valid"
"2019-06-23 08:30:00","15.412","15.812","Valid","20.205","20.205","Valid","15.512","15.512","Valid"
"2019-06-23 08:45:00","15.465","15.865","Valid","18.962","18.962","Valid","15.137","15.137","Valid"
"2019-06-23 09:00:00","15.625","16.025","Valid","19.425","19.425","Valid","14.978","14.978","Valid"
"2019-06-23 09:15:00","15.304","15.704","Valid","17.337","17.337","Valid","14.135","14.135","Valid"
"2019-06-23 09:30:00","14.652","15.052","Valid","15.759","15.759","Valid","13.789","13.789","Valid"
"2019-06-23 09:45:00","14.402","14.802","Valid","18.361","18.361","Valid","14.197","14.197","Valid"
"2019-06-23 10:00:00","13.97","14.37","Valid","16.225","16.225","Valid","14.032","14.032","Valid"
"2019-06-23 10:15:00","12.981","13.381","Valid","16.025","16.025","Valid","13.814","13.814","Valid"
"2019-06-23 10:30:00","12.705","13.105","Valid","17.715","17.715","Valid","14.214","14.214","Valid"
"2019-06-23 10:45:00","13.179","13.579","Valid","16.293","16.293","Valid","13.933","13.933","Valid"
"2019-06-23 11:00:00","12.493","12.893","Valid","15.563","15.563","Valid","13.579","13.579","Valid"
"2019-06-23 11:15:00","13.854","14.254","Valid","15.285","15.285","Valid","13.027","13.027","Valid"
"2019-06-23 11:30:00","12.428","12.828","Valid","15.779","15.779","Valid","13.958","13.958","Valid"
"2019-06-23 11:45:00","11.666","12.066","Valid","14.674","14.674","Valid","12.389","12.389","Valid"
"2019-06-23 12:00:00","9.945","10.345","Valid","14.849","14.849","Valid","12.157","12.157","Valid"
"2019-06-23 12:15:00","10.501","10.901","Valid","13.563","13.563","Valid","11.563","11.563","Invalid (1)"
"2019-06-23 12:30:00","11.452","11.852","Valid","14.099","14.099","Valid","11.582","11.582","Valid"
"2019-06-23 12:45:00","12.083","12.483","Valid","13.877","13.877","Valid","11.391","11.391","Valid"
"2019-06-23 13:00:00","11.261","11.661","Valid","10.803","10.803","Valid","9.901","9.901","Invalid (1)"
"2019-06-23 13:15:00","16.754","17.154","Valid","11.365","11.365","Valid","9.413","9.413","Valid"
"2019-06-23 13:30:00","11.227","11.627","Valid","10.165","10.165","Valid","9.275","9.275","Invalid (1)"
"2019-06-23 13:45:00","10.755","11.155","Valid","10.93","10.93","Valid","10.047","10.047","Valid"
"2019-06-23 14:00:00","13.662","14.062","Valid","10.857","10.857","Valid","9.947","9.947","Valid"
"2019-06-23 14:15:00","12.953","13.353","Valid","12.321","12.321","Valid","11.036","11.036","Valid"
"2019-06-23 14:30:00","13.131","13.531","Valid","13.147","13.147","Valid","11.223","11.223","Valid"
"2019-06-23 14:45:00","13.39","13.79","Valid","12.087","12.087","Valid","11.024","11.024","Valid"
"2019-06-23 15:00:00","14.272","14.672","Valid","11.675","11.675","Valid","10.355","10.355","Valid"
"2019-06-23 15:15:00","14.275","14.675","Valid","11.855","11.855","Valid","10.671","10.671","Valid"
"2019-06-23 15:30:00","15.831","16.231","Valid","12.439","12.439","Valid","10.903","10.903","Valid"
"2019-06-23 15:45:00","14.584","14.984","Valid","10.864","10.864","Valid","10.508","10.508","Valid"
"2019-06-23 16:00:00","17.596","17.996","Valid","12.527","12.527","Valid","11.232","11.232","Valid"
"2019-06-23 16:15:00","16.214","16.614","Valid","12.748","12.748","Valid","11.667","11.667","Valid"
"2019-06-23 16:30:00","15.795","16.195","Valid","12.783","12.783","Valid","11.811","11.811","Valid"
"2019-06-23 16:45:00","15.244","15.644","Valid","12.913","12.913","Valid","11.66","11.66","Valid"
"2019-06-23 17:00:00","17.025","17.425","Valid","13.393","13.393","Valid","11.856","11.856","Valid"
"2019-06-23 17:15:00","18.464","18.864","Valid","13.215","13.215","Valid","11.582","11.582","Valid"
"2019-06-23 17:30:00","18.517","18.917","Valid","13.315","13.315","Valid","12.109","12.109","Valid"
"2019-06-23 17:45:00","19.719","20.119","Valid","16.59","16.59","Valid","14.099","14.099","Valid"
"2019-06-23 18:00:00","23.784","24.184","Valid","17.641","17.641","Valid","15.585","15.585","Valid"
"2019-06-23 18:15:00","20.133","20.533","Valid","15.699","15.699","Valid","13.598","13.598","Valid"
"2019-06-23 18:30:00","17.689","18.089","Valid","16.308","16.308","Valid","14.293","14.293","Valid"
"2019-06-23 18:45:00","17.165","17.565","Valid","17.091","17.091","Valid","15.196","15.196","Valid"
"2019-06-23 19:00:00","16.501","16.901","Valid","17.638","17.638","Valid","16.44","16.44","Invalid (1)"
"2019-06-23 19:15:00","16.521","16.921","Valid","19.387","19.387","Valid","17.478","17.478","Valid"
"2019-06-23 19:30:00","18.348","18.748","Valid","19.573","19.573","Valid","18.222","18.222","Valid"
"2019-06-23 19:45:00","17.332","17.732","Valid","20.718","20.718","Valid","18.814","18.814","Invalid (1)"
"2019-06-23 20:00:00","18.488","18.888","Valid","20.221","20.221","Valid","18.621","18.621","Valid"
"2019-06-23 20:15:00","18.119","18.519","Valid","20.411","20.411","Valid","19.049","19.049","Valid"
"2019-06-23 20:30:00","17.787","18.187","Valid","21.008","21.008","Valid","19.086","19.086","Valid"
"2019-06-23 20:45:00","18.187","18.587","Valid","21.122","21.122","Valid","18.762","18.762","Valid"
"2019-06-23 21:00:00","17.355","17.755","Valid","21.195","21.195","Valid","18.824","18.824","Valid"
"2019-06-23 21:15:00","17.349","17.749","Valid","20.455","20.455","Valid","18.285","18.285","Valid"
"2019-06-23 21:30:00","17.445","17.845","Valid","20.643","20.643","Valid","18.636","18.636","Valid"
"2019-06-23 21:45:00","17.803","18.203","Valid","22.405","22.405","Valid","19.626","19.626","Valid"
"2019-06-23 22:00:00","18.575","18.975","Valid","23.227","23.227","Valid","20.551","20.551","Valid"
"2019-06-23 22:15:00","19.679","20.079","Valid","23.782","23.782","Valid","21.673","21.673","Valid"
"2019-06-23 22:30:00","19.948","20.348","Valid","25.556","25.556","Valid","22.651","22.651","Valid"
"2019-06-23 22:45:00","20.152","20.552","Valid","26.685","26.685","Valid","23.138","23.138","Valid"
"2019-06-23 23:00:00","21.007","21.407","Valid","27.198","27.198","Valid","23.585","23.585","Valid"
"2019-06-23 23:15:00","21.679","22.079","Valid","28.239","28.239","Valid","24.014","24.014","Valid"
"2019-06-23 23:30:00","20.548","20.948","Valid","28.134","28.134","Valid","24.979","24.979","Valid"
"2019-06-23 23:45:00","21.464","21.864","Valid","28.658","28.658","Valid","25.513","25.513","Valid"
