"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-27 00:00:00","8.344","12.383","Valid","3.469","3.469","Valid","2.842","2.842","Valid"
"2019-06-27 00:15:00","8.501","12.54","Valid","3.577","3.577","Valid","2.881","2.881","Valid"
"2019-06-27 00:30:00","9.64","13.679","Valid","4.661","4.661","Valid","3.187","3.187","Valid"
"2019-06-27 00:45:00","8.132","12.171","Valid","4.327","4.327","Valid","3.225","3.225","Valid"
"2019-06-27 01:00:00","8.989","13.028","Valid","4.432","4.432","Valid","3.256","3.256","Valid"
"2019-06-27 01:15:00","8.617","12.656","Valid","5.103","5.103","Valid","3.519","3.519","Valid"
"2019-06-27 01:30:00","8.745","12.784","Valid","6.025","6.025","Valid","3.807","3.807","Valid"
"2019-06-27 01:45:00","7.996","12.035","Valid","5.783","5.783","Valid","4.031","4.031","Valid"
"2019-06-27 02:00:00","7.95","11.989","Valid","6.509","6.509","Valid","4.18","4.18","Valid"
"2019-06-27 02:15:00","7.699","11.738","Valid","6.331","6.331","Valid","4.346","4.346","Valid"
"2019-06-27 02:30:00","8.172","12.211","Valid","6.455","6.455","Valid","4.338","4.338","Valid"
"2019-06-27 02:45:00","8.325","12.364","Valid","7.18","7.18","Valid","4.507","4.507","Valid"
"2019-06-27 03:00:00","8.193","12.232","Valid","6.17","6.17","Valid","4.36","4.36","Valid"
"2019-06-27 03:15:00","8.759","12.798","Valid","6.659","6.659","Valid","4.259","4.259","Valid"
"2019-06-27 03:30:00","8.627","12.666","Valid","6.753","6.753","Valid","4.179","4.179","Valid"
"2019-06-27 03:45:00","8.481","12.52","Valid","7.213","7.213","Valid","4.313","4.313","Valid"
"2019-06-27 04:00:00","8.629","12.668","Valid","6.845","6.845","Valid","4.179","4.179","Valid"
"2019-06-27 04:15:00","8.965","13.004","Valid","7.417","7.417","Valid","4.191","4.191","Valid"
"2019-06-27 04:30:00","8.591","12.63","Valid","7.004","7.004","Valid","4.013","4.013","Valid"
"2019-06-27 04:45:00","8.443","12.482","Valid","6.787","6.787","Valid","3.879","3.879","Valid"
"2019-06-27 05:00:00","8.872","12.911","Valid","6.307","6.307","Valid","3.987","3.987","Valid"
"2019-06-27 05:15:00","8.411","12.45","Valid","6.467","6.467","Valid","4.068","4.068","Valid"
"2019-06-27 05:30:00","9.576","13.615","Valid","6.767","6.767","Valid","4.136","4.136","Valid"
"2019-06-27 05:45:00","9.821","13.86","Valid","7.409","7.409","Valid","4.163","4.163","Valid"
"2019-06-27 06:00:00","10.371","14.41","Valid","7.201","7.201","Valid","4.041","4.041","Valid"
"2019-06-27 06:15:00","11.585","15.624","Valid","6.683","6.683","Valid","4.049","4.049","Valid"
"2019-06-27 06:30:00","10.94","14.979","Valid","6.616","6.616","Valid","4.124","4.124","Valid"
"2019-06-27 06:45:00","11.255","15.294","Valid","6.928","6.928","Valid","4.257","4.257","Valid"
"2019-06-27 07:00:00","11.213","15.252","Valid","6.948","6.948","Valid","4.361","4.361","Valid"
"2019-06-27 07:15:00","10.923","14.962","Valid","7.373","7.373","Valid","4.343","4.343","Valid"
"2019-06-27 07:30:00","11.119","15.158","Valid","6.715","6.715","Valid","4.278","4.278","Valid"
"2019-06-27 07:45:00","10.361","14.4","Valid","6.314","6.314","Valid","4.191","4.191","Valid"
"2019-06-27 08:00:00","11.599","15.638","Valid","7.121","7.121","Valid","4.605","4.605","Valid"
"2019-06-27 08:15:00","11.385","15.424","Valid","6.957","6.957","Valid","4.467","4.467","Valid"
