"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-26 00:00:00","10.931","14.97","Valid","21.097","21.097","Valid","20.212","20.212","Valid"
"2019-06-26 00:15:00","10.443","14.482","Valid","24.044","24.044","Valid","22.07","22.07","Valid"
"2019-06-26 00:30:00","9.574","13.613","Valid","14.396","14.396","Valid","12.848","12.848","Valid"
"2019-06-26 00:45:00","9.563","13.602","Valid","13.813","13.813","Valid","12.15","12.15","Valid"
"2019-06-26 01:00:00","9.426","13.465","Valid","13.78","13.78","Valid","12.029","12.029","Valid"
"2019-06-26 01:15:00","9.504","13.543","Valid","10.673","10.673","Valid","9.533","9.533","Valid"
"2019-06-26 01:30:00","9.455","13.494","Valid","10.407","10.407","Valid","9.39","9.39","Valid"
"2019-06-26 01:45:00","8.871","12.91","Valid","9.74","9.74","Valid","8.809","8.809","Valid"
"2019-06-26 02:00:00","11.212","15.251","Valid","9.881","9.881","Valid","8.919","8.919","Valid"
"2019-06-26 02:15:00","9.113","13.152","Valid","10.992","10.992","Valid","9.638","9.638","Valid"
"2019-06-26 02:30:00","9.331","13.37","Valid","11.774","11.774","Valid","10.522","10.522","Valid"
"2019-06-26 02:45:00","8.925","12.964","Valid","12.511","12.511","Valid","11.141","11.141","Valid"
"2019-06-26 03:00:00","11.495","15.534","Valid","12.765","12.765","Valid","11.105","11.105","Valid"
"2019-06-26 03:15:00","10.264","14.303","Valid","12.457","12.457","Valid","10.565","10.565","Valid"
"2019-06-26 03:30:00","10.956","14.995","Valid","12.991","12.991","Valid","11.043","11.043","Valid"
"2019-06-26 03:45:00","10.561","14.6","Valid","13.522","13.522","Valid","11.84","11.84","Valid"
"2019-06-26 04:00:00","10.855","14.894","Valid","15.552","15.552","Valid","12.665","12.665","Valid"
"2019-06-26 04:15:00","8.219","12.258","Valid","15.025","15.025","Valid","12.494","12.494","Valid"
"2019-06-26 04:30:00","15.42","19.459","Invalid (1)","15.73","15.73","Valid","12.579","12.579","Valid"
"2019-06-26 04:45:00","9.071","13.11","Valid","14.477","14.477","Valid","11.991","11.991","Valid"
"2019-06-26 05:00:00","10.76","14.799","Valid","15.948","15.948","Valid","12.981","12.981","Valid"
"2019-06-26 05:15:00","10.792","14.831","Valid","17.36","17.36","Valid","13.659","13.659","Valid"
"2019-06-26 05:30:00","10.986","15.025","Valid","15.239","15.239","Valid","12.251","12.251","Valid"
"2019-06-26 05:45:00","10.359","14.398","Valid","12.124","12.124","Valid","9.896","9.896","Valid"
"2019-06-26 06:00:00","12.27","16.309","Valid","13.143","13.143","Valid","10.809","10.809","Valid"
"2019-06-26 06:15:00","17.071","21.11","Valid","10.228","10.228","Valid","8.657","8.657","Valid"
"2019-06-26 06:30:00","14.064","18.103","Valid","10.192","10.192","Valid","8.257","8.257","Valid"
"2019-06-26 06:45:00","12.653","16.692","Valid","10.343","10.343","Valid","8.425","8.425","Valid"
"2019-06-26 07:00:00","13.25","17.289","Valid","10.896","10.896","Valid","8.548","8.548","Valid"
"2019-06-26 07:15:00","12.917","16.956","Valid","11.696","11.696","Valid","9.391","9.391","Valid"
"2019-06-26 07:30:00","14.332","18.371","Valid","13.166","13.166","Valid","10.207","10.207","Valid"
"2019-06-26 07:45:00","15.78","19.819","Valid","12.663","12.663","Valid","9.589","9.589","Valid"
"2019-06-26 08:00:00","14.278","18.317","Valid","13.479","13.479","Valid","10.006","10.006","Valid"
"2019-06-26 08:15:00","14.025","18.064","Valid","13.577","13.577","Valid","9.958","9.958","Valid"
"2019-06-26 08:30:00","13.847","17.886","Valid","13.973","13.973","Valid","10.119","10.119","Valid"
"2019-06-26 08:45:00","12.874","16.913","Valid","15.697","15.697","Valid","10.844","10.844","Valid"
"2019-06-26 09:00:00","14.163","18.202","Valid","14.458","14.458","Valid","10.449","10.449","Valid"
"2019-06-26 09:15:00","14.638","18.677","Valid","17.535","17.535","Valid","12.135","12.135","Valid"
"2019-06-26 09:30:00","15.846","19.885","Valid","15.861","15.861","Valid","11.533","11.533","Valid"
"2019-06-26 09:45:00","13.119","17.158","Valid","14.921","14.921","Valid","10.524","10.524","Valid"
"2019-06-26 10:00:00","13.68","17.719","Valid","18.977","18.977","Valid","15.461","15.461","Valid"
"2019-06-26 10:15:00","13.805","17.844","Valid","17.352","17.352","Valid","14.609","14.609","Valid"
"2019-06-26 10:30:00","12.691","16.73","Valid","11.747","11.747","Valid","8.204","8.204","Valid"
"2019-06-26 10:45:00","13.596","17.635","Valid","11.057","11.057","Valid","7.569","7.569","Valid"
"2019-06-26 11:00:00","13.398","17.437","Valid","10.379","10.379","Valid","7.185","7.185","Valid"
"2019-06-26 11:15:00","13.334","17.373","Valid","9.907","9.907","Valid","6.881","6.881","Valid"
"2019-06-26 11:30:00","13.971","18.01","Valid","9.477","9.477","Valid","6.652","6.652","Valid"
"2019-06-26 11:45:00","13.743","17.782","Valid","9.427","9.427","Valid","6.69","6.69","Valid"
"2019-06-26 12:00:00","13.603","17.642","Valid","9.395","9.395","Valid","6.316","6.316","Valid"
"2019-06-26 12:15:00","13.2","17.239","Valid","9.032","9.032","Valid","6.637","6.637","Valid"
"2019-06-26 12:30:00","12.955","16.994","Valid","9.882","9.882","Valid","6.845","6.845","Valid"
"2019-06-26 12:45:00","13.525","17.564","Valid","9.669","9.669","Valid","6.249","6.249","Valid"
"2019-06-26 13:00:00","14.157","18.196","Valid","9.276","9.276","Valid","6.148","6.148","Valid"
"2019-06-26 13:15:00","13.782","17.821","Valid","8.203","8.203","Valid","5.711","5.711","Valid"
"2019-06-26 13:30:00","13.213","17.252","Valid","6.774","6.774","Valid","4.507","4.507","Valid"
"2019-06-26 13:45:00","13.766","17.805","Valid","7.041","7.041","Valid","4.529","4.529","Valid"
"2019-06-26 14:00:00","12.755","16.794","Valid","6.911","6.911","Valid","4.572","4.572","Valid"
"2019-06-26 14:15:00","12.635","16.674","Valid","7.265","7.265","Valid","4.616","4.616","Valid"
"2019-06-26 14:30:00","12.763","16.802","Valid","6.511","6.511","Valid","4.449","4.449","Valid"
"2019-06-26 14:45:00","12.413","16.452","Valid","6.389","6.389","Valid","4.221","4.221","Valid"
"2019-06-26 15:00:00","14.921","18.96","Valid","6.953","6.953","Valid","4.583","4.583","Valid"
"2019-06-26 15:15:00","13.052","17.091","Valid","6.741","6.741","Valid","4.526","4.526","Valid"
"2019-06-26 15:30:00","12.102","16.141","Valid","6.139","6.139","Valid","4.377","4.377","Valid"
"2019-06-26 15:45:00","11.783","15.822","Valid","6.902","6.902","Valid","4.489","4.489","Valid"
"2019-06-26 16:00:00","11.024","15.063","Valid","5.564","5.564","Valid","4.112","4.112","Valid"
"2019-06-26 16:15:00","13.049","17.088","Valid","5.961","5.961","Valid","4.083","4.083","Valid"
"2019-06-26 16:30:00","12.715","16.754","Valid","5.864","5.864","Valid","3.994","3.994","Valid"
"2019-06-26 16:45:00","11.855","15.894","Valid","5.559","5.559","Valid","3.849","3.849","Valid"
"2019-06-26 17:00:00","13.137","17.176","Valid","5.537","5.537","Valid","4.097","4.097","Valid"
"2019-06-26 17:15:00","11.81","15.849","Valid","5.62","5.62","Valid","3.9","3.9","Valid"
"2019-06-26 17:30:00","12.73","16.769","Valid","5.194","5.194","Valid","4.012","4.012","Valid"
"2019-06-26 17:45:00","11.991","16.03","Valid","5.291","5.291","Valid","3.727","3.727","Valid"
"2019-06-26 18:00:00","13.339","17.378","Valid","5.874","5.874","Valid","3.933","3.933","Valid"
"2019-06-26 18:15:00","11.381","15.42","Valid","4.797","4.797","Valid","3.825","3.825","Valid"
"2019-06-26 18:30:00","10.105","14.144","Valid","4.807","4.807","Valid","3.586","3.586","Invalid (1)"
"2019-06-26 18:45:00","10.923","14.962","Valid","5.341","5.341","Valid","4.289","4.289","Valid"
"2019-06-26 19:00:00","10.027","14.066","Valid","5.271","5.271","Valid","3.995","3.995","Valid"
"2019-06-26 19:15:00","9.667","13.706","Valid","6.406","6.406","Valid","6.025","6.025","Valid"
