"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags"
"2019-06-26 00:00:00","10.629","15.258","Valid","12.485","12.485","Valid","14.098","14.098","Valid"
"2019-06-26 00:15:00","8.784","13.413","Valid","15.121","15.121","Valid","16.865","16.865","Valid"
"2019-06-26 00:30:00","8.953","13.581","Valid","10.773","10.773","Valid","11.981","11.981","Valid"
"2019-06-26 00:45:00","8.393","13.021","Valid","10.127","10.127","Valid","11.287","11.287","Valid"
"2019-06-26 01:00:00","8.353","12.982","Valid","9.917","9.917","Valid","11.305","11.305","Valid"
"2019-06-26 01:15:00","7.841","12.469","Valid","7.981","7.981","Valid","8.905","8.905","Valid"
"2019-06-26 01:30:00","8.124","12.753","Valid","7.821","7.821","Valid","8.803","8.803","Valid"
"2019-06-26 01:45:00","7.941","12.569","Valid","7.119","7.119","Valid","8.07","8.07","Valid"
"2019-06-26 02:00:00","7.977","12.605","Valid","7.537","7.537","Valid","8.291","8.291","Valid"
"2019-06-26 02:15:00","8.89","13.519","Valid","7.894","7.894","Valid","8.823","8.823","Valid"
"2019-06-26 02:30:00","8.685","13.314","Valid","8.888","8.888","Valid","9.824","9.824","Valid"
"2019-06-26 02:45:00","9.131","13.76","Valid","9.403","9.403","Valid","10.557","10.557","Valid"
"2019-06-26 03:00:00","8.333","12.962","Valid","9.805","9.805","Valid","11.273","11.273","Valid"
"2019-06-26 03:15:00","9.353","13.981","Valid","9.441","9.441","Valid","10.436","10.436","Valid"
"2019-06-26 03:30:00","8.238","12.867","Valid","10.299","10.299","Valid","11.906","11.906","Valid"
"2019-06-26 03:45:00","9.94","14.569","Valid","10.491","10.491","Valid","11.787","11.787","Valid"
"2019-06-26 04:00:00","8.822","13.451","Valid","10.687","10.687","Valid","12.409","12.409","Valid"
"2019-06-26 04:15:00","9.541","14.169","Valid","10.416","10.416","Valid","12.267","12.267","Valid"
"2019-06-26 04:30:00","10.164","14.793","Valid","10.42","10.42","Valid","11.915","11.915","Valid"
"2019-06-26 04:45:00","9.427","14.056","Valid","10.172","10.172","Valid","11.732","11.732","Valid"
"2019-06-26 05:00:00","10.592","15.221","Valid","10.548","10.548","Valid","12.149","12.149","Valid"
"2019-06-26 05:15:00","9.802","14.431","Valid","11.571","11.571","Valid","13.431","13.431","Valid"
"2019-06-26 05:30:00","11.886","16.515","Valid","9.953","9.953","Valid","11.613","11.613","Valid"
"2019-06-26 05:45:00","12.727","17.356","Valid","8.249","8.249","Valid","9.535","9.535","Valid"
"2019-06-26 06:00:00","13.233","17.862","Valid","8.449","8.449","Valid","9.909","9.909","Valid"
"2019-06-26 06:15:00","15.247","19.875","Valid","6.961","6.961","Valid","8.155","8.155","Valid"
"2019-06-26 06:30:00","16.419","21.047","Valid","6.861","6.861","Valid","8.126","8.126","Valid"
"2019-06-26 06:45:00","19.289","23.917","Valid","6.979","6.979","Valid","8.173","8.173","Valid"
"2019-06-26 07:00:00","18.821","23.45","Valid","6.939","6.939","Valid","8.017","8.017","Valid"
"2019-06-26 07:15:00","22.173","26.802","Valid","7.528","7.528","Valid","8.745","8.745","Valid"
"2019-06-26 07:30:00","17.432","22.061","Valid","8.241","8.241","Valid","9.977","9.977","Valid"
"2019-06-26 07:45:00","14.985","19.614","Valid","7.793","7.793","Valid","8.894","8.894","Valid"
"2019-06-26 08:00:00","15.327","19.955","Valid","8.313","8.313","Valid","9.972","9.972","Valid"
"2019-06-26 08:15:00","17.53","22.159","Valid","8.288","8.288","Valid","9.791","9.791","Valid"
"2019-06-26 08:30:00","18.8","23.429","Valid","10.487","10.487","Valid","18.847","18.847","Valid"
"2019-06-26 08:45:00","18.52","23.149","Valid","8.59","8.59","Valid","10.409","10.409","Valid"
"2019-06-26 09:00:00","17.704","22.333","Valid","8.489","8.489","Valid","10.231","10.231","Valid"
"2019-06-26 09:15:00","18.152","22.781","Valid","9.591","9.591","Valid","11.945","11.945","Valid"
"2019-06-26 09:30:00","17.91","22.539","Valid","9.125","9.125","Valid","11.412","11.412","Valid"
"2019-06-26 09:45:00","14.947","19.575","Valid","8.129","8.129","Valid","10.255","10.255","Valid"
"2019-06-26 10:00:00","15.727","20.355","Valid","7.783","7.783","Valid","9.748","9.748","Valid"
"2019-06-26 10:15:00","15.087","19.715","Valid","6.996","6.996","Valid","8.849","8.849","Valid"
"2019-06-26 10:30:00","15.891","20.52","Valid","6.699","6.699","Valid","8.373","8.373","Valid"
"2019-06-26 10:45:00","13.057","17.686","Valid","5.537","5.537","Valid","6.963","6.963","Valid"
"2019-06-26 11:00:00","15.739","20.367","Valid","5.482","5.482","Valid","6.861","6.861","Valid"
"2019-06-26 11:15:00","15.263","19.892","Valid","4.979","4.979","Valid","6.345","6.345","Valid"
"2019-06-26 11:30:00","14.399","19.028","Valid","4.59","4.59","Valid","5.61","5.61","Valid"
"2019-06-26 11:45:00","14.687","19.316","Valid","4.632","4.632","Valid","6.185","6.185","Valid"
"2019-06-26 12:00:00","16.116","20.745","Valid","4.795","4.795","Valid","6.444","6.444","Valid"
"2019-06-26 12:15:00","16.319","20.947","Valid","4.741","4.741","Valid","6.197","6.197","Valid"
"2019-06-26 12:30:00","14.076","18.705","Valid","4.689","4.689","Valid","6.192","6.192","Valid"
"2019-06-26 12:45:00","13.591","18.22","Valid","4.341","4.341","Valid","5.659","5.659","Valid"
"2019-06-26 13:00:00","12.397","17.026","Valid","4.069","4.069","Valid","5.497","5.497","Valid"
"2019-06-26 13:15:00","17.087","21.715","Valid","3.73","3.73","Valid","5.021","5.021","Valid"
"2019-06-26 13:30:00","12.513","17.142","Valid","3.079","3.079","Valid","4.102","4.102","Valid"
"2019-06-26 13:45:00","12.908","17.537","Valid","3.271","3.271","Valid","5.093","5.093","Valid"
"2019-06-26 14:00:00","11.855","16.484","Valid","3.245","3.245","Valid","4.533","4.533","Valid"
"2019-06-26 14:15:00","11.25","15.879","Valid","3.15","3.15","Valid","4.436","4.436","Valid"
"2019-06-26 14:30:00","13.053","17.682","Valid","2.841","2.841","Valid","4.369","4.369","Valid"
"2019-06-26 14:45:00","11.599","16.228","Valid","2.721","2.721","Valid","3.936","3.936","Valid"
"2019-06-26 15:00:00","13.08","17.709","Valid","3.17","3.17","Valid","4.425","4.425","Valid"
"2019-06-26 15:15:00","14.461","19.09","Valid","3.038","3.038","Valid","4.707","4.707","Valid"
"2019-06-26 15:30:00","14.529","19.157","Valid","2.986","2.986","Valid","4.57","4.57","Valid"
"2019-06-26 15:45:00","11.224","15.853","Valid","2.797","2.797","Valid","3.863","3.863","Valid"
"2019-06-26 16:00:00","14.204","18.833","Valid","2.547","2.547","Valid","3.735","3.735","Valid"
"2019-06-26 16:15:00","12.059","16.687","Valid","2.461","2.461","Valid","3.686","3.686","Valid"
"2019-06-26 16:30:00","16.239","20.868","Valid","2.612","2.612","Valid","4.041","4.041","Valid"
"2019-06-26 16:45:00","13.374","18.003","Valid","2.85","2.85","Valid","4.457","4.457","Valid"
"2019-06-26 17:00:00","12.355","16.983","Valid","2.427","2.427","Valid","3.587","3.587","Valid"
"2019-06-26 17:15:00","12.909","17.538","Valid","2.387","2.387","Valid","3.766","3.766","Valid"
"2019-06-26 17:30:00","18.686","23.315","Valid","2.636","2.636","Valid","4.069","4.069","Valid"
"2019-06-26 17:45:00","14.392","19.021","Valid","2.437","2.437","Valid","3.793","3.793","Valid"
"2019-06-26 18:00:00","16.434","21.063","Valid","2.967","2.967","Valid","3.979","3.979","Valid"
"2019-06-26 18:15:00","13.429","18.057","Valid","2.593","2.593","Valid","3.462","3.462","Valid"
"2019-06-26 18:30:00","11.337","15.966","Valid","2.265","2.265","Valid","2.816","2.816","Valid"
"2019-06-26 18:45:00","11.938","16.567","Valid","2.306","2.306","Valid","2.889","2.889","Valid"
"2019-06-26 19:00:00","10.915","15.543","Valid","2.267","2.267","Valid","3.131","3.131","Valid"
"2019-06-26 19:15:00","11.519","16.148","Valid","2.273","2.273","Valid","2.973","2.973","Valid"
"2019-06-26 19:30:00","14.501","19.13","Valid","2.687","2.687","Valid","3.799","3.799","Valid"
"2019-06-26 19:45:00","13.896","18.525","Valid","2.644","2.644","Valid","3.419","3.419","Valid"
"2019-06-26 20:00:00","11.933","16.561","Valid","2.433","2.433","Valid","2.999","2.999","Valid"
"2019-06-26 20:15:00","11.436","16.065","Valid","1.887","1.887","Valid","2.895","2.895","Valid"
"2019-06-26 20:30:00","10.12","14.749","Valid","1.683","1.683","Valid","2.457","2.457","Valid"
"2019-06-26 20:45:00","12.652","17.281","Valid","1.827","1.827","Valid","2.783","2.783","Valid"
"2019-06-26 21:00:00","14.469","19.097","Valid","2.132","2.132","Valid","2.757","2.757","Valid"
"2019-06-26 21:15:00","12.684","17.313","Valid","1.767","1.767","Valid","2.749","2.749","Valid"
"2019-06-26 21:30:00","10.503","15.132","Valid","1.566","1.566","Valid","2.363","2.363","Valid"
"2019-06-26 21:45:00","11.461","16.089","Valid","1.474","1.474","Valid","2.211","2.211","Valid"
"2019-06-26 22:00:00","11.745","16.374","Valid","1.552","1.552","Valid","2.284","2.284","Valid"
"2019-06-26 22:15:00","11.877","16.505","Valid","1.559","1.559","Valid","2.295","2.295","Valid"
"2019-06-26 22:30:00","10.665","15.293","Valid","1.525","1.525","Invalid (1)","1.945","1.945","Valid"
"2019-06-26 22:45:00","10.304","14.933","Valid","1.553","1.553","Valid","2.063","2.063","Valid"
"2019-06-26 23:00:00","8.503","13.131","Valid","1.479","1.479","Valid","1.949","1.949","Valid"
"2019-06-26 23:15:00","9.396","14.025","Valid","1.64","1.64","Valid","2.213","2.213","Valid"
"2019-06-26 23:30:00","8.524","13.153","Valid","1.968","1.968","Valid","2.61","2.61","Valid"
"2019-06-26 23:45:00","7.941","12.57","Valid","2.313","2.313","Valid","2.761","2.761","Valid"
