"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-15 00:00:00","17.067","17.467","Valid","5.414","5.414","Valid","2.854","2.854","Valid"
"2019-06-15 00:15:00","14.017","14.417","Valid","5.703","5.703","Valid","3.016","3.016","Valid"
"2019-06-15 00:30:00","12.639","13.039","Valid","5.455","5.455","Valid","2.789","2.789","Valid"
"2019-06-15 00:45:00","13.55","13.95","Valid","5.579","5.579","Valid","2.949","2.949","Valid"
"2019-06-15 01:00:00","13.549","13.949","Valid","5.427","5.427","Valid","3.069","3.069","Valid"
"2019-06-15 01:15:00","14.771","15.171","Valid","5.373","5.373","Valid","3.191","3.191","Valid"
"2019-06-15 01:30:00","12.745","13.145","Valid","5.209","5.209","Valid","3.227","3.227","Valid"
"2019-06-15 01:45:00","11.657","12.057","Valid","6.055","6.055","Valid","3.205","3.205","Valid"
"2019-06-15 02:00:00","11.553","11.953","Valid","5.853","5.853","Valid","3.363","3.363","Valid"
"2019-06-15 02:15:00","10.748","11.148","Valid","6.579","6.579","Valid","3.347","3.347","Valid"
"2019-06-15 02:30:00","11.442","11.842","Valid","5.397","5.397","Valid","3.33","3.33","Valid"
"2019-06-15 02:45:00","11.277","11.677","Valid","6.19","6.19","Valid","3.241","3.241","Valid"
"2019-06-15 03:00:00","11.158","11.558","Valid","4.842","4.842","Valid","3.141","3.141","Valid"
"2019-06-15 03:15:00","11.038","11.438","Valid","5.631","5.631","Valid","3.108","3.108","Valid"
"2019-06-15 03:30:00","11.433","11.833","Valid","5.054","5.054","Valid","3.024","3.024","Valid"
"2019-06-15 03:45:00","11.438","11.838","Valid","5.061","5.061","Valid","2.938","2.938","Valid"
"2019-06-15 04:00:00","11.648","12.048","Valid","5.614","5.614","Valid","2.893","2.893","Valid"
"2019-06-15 04:15:00","12.496","12.896","Valid","4.989","4.989","Valid","2.813","2.813","Valid"
"2019-06-15 04:30:00","13.037","13.437","Valid","5.967","5.967","Valid","2.969","2.969","Valid"
"2019-06-15 04:45:00","13.644","14.044","Valid","5.123","5.123","Valid","3.041","3.041","Valid"
"2019-06-15 05:00:00","14.491","14.891","Valid","6.436","6.436","Valid","3.133","3.133","Valid"
"2019-06-15 05:15:00","15.802","16.202","Valid","6.079","6.079","Valid","3.133","3.133","Valid"
"2019-06-15 05:30:00","13.66","14.06","Valid","7.424","7.424","Valid","4.029","4.029","Invalid (1)"
"2019-06-15 05:45:00","16.363","16.763","Valid","7.901","7.901","Valid","4.669","4.669","Valid"
